RB;Ustanova;Pošta;Mjesto;Adresa;Telefon - centrala;Fax ustanove;Ravnatelj
1;KLINIČKI BOLNIČKI CENTAR ZAGREB;10000;ZAGREB;ŠALATA 2;01/2368-987;01 2379-922;Prof.dr.sc. Ante Ćorušić, ravnatelj
2;KLINIČKI BOLNIČKI CENTAR RIJEKA;51000;RIJEKA;KREŠIMIROVA 42;051/658-111;051 337 536;Prof. dr. sc. Davor Štimac, dr. med., ravnatelj
3;KLINIČKI BOLNIČKI CENTAR SPLIT;21000;SPLIT;SPINČIĆEVA 1;021/556-111;021 389 563;prof.prim.dr.sc. Julije Meštrović, dr.med.
4;"KLINIČKI BOLNIČKI CENTAR ""SESTRE MILOSRDNICE""";10000;ZAGREB;VINOGRADSKA CESTA 29;01/3787-111;01 3768 269;prof. dr. sc.  Mario Zovak, dr. med., ravnatelj
5;KLINIČKI BOLNIČKI CENTAR OSIJEK;31000;OSIJEK;J. HUTTLERA 4;031/511-511;031 512 221;Doc.dr.sc. Željko Zubčić, dr.med., specijalist otorinolaringolog, plastični kirurg glave i vrata, ravnatelj
6;KLINIČKA BOLNICA DUBRAVA;10000;ZAGREB;AVENIJA GOJKA ŠUŠKA 6;01/2902-444;01 28 64 249;"doc.dr.sc. Srećko Marušić, ravnatelj"
7;KLINIČKA BOLNICA MERKUR;10000;ZAGREB;ZAJČEVA 19;01/2431-390;01 24 31 402;Doc.dr.sc.,prim.dr.med. Mario Starešinić, ravnatelj
8;"KLINIČKA  BOLNICA ""SVETI DUH""";10000;ZAGREB;SVETI DUH 64;01/3712-111;01/3712-308;prof. dr. sc. Mladen Bušić, prim. dr. med., ravnatelj
9;KLINIKA ZA ORTOPEDIJU LOVRAN;51415;LOVRAN;ŠETALIŠTE MARŠALA TITA 1;051/710-201;051 292 098;Prof. dr. sc. Branko Šestan, dr. med., ravnatelj
10;"KLINIKA ZA INFEKTIVNE BOLESTI ""DR. FRAN MIHALJEVIĆ""";10000;ZAGREB;MIROGOJSKA 8;01/2826-222;01 46 78 244;Prof.dr.sc. Alemka Markotić, dr.med., ravnatelj
11;KLINIKA ZA PSIHIJATRIJU VRAPČE;10000;ZAGREB;BOLNIČKA CESTA 32;01/3780-666;01 34 83 660;Doc. dr. sc. Petrana Brečić, v.d. ravnatelja
12;KLINIKA ZA DJEČJE BOLESTI ZAGREB;10000;ZAGREB;KLAIĆEVA 16;01/4600-111;01/4826 053;prof.dr.sc.Goran Roić,dr.med.
13;MAGDALENA - klinika za kardiovaskularne bolesti Medicinskog fakulteta Sveučilišta J.J. Strossmayera u Osijeku;49217;KRAPINSKE TOPLICE;LJUDEVITA GAJA 2;049/244-444;049 244 515;prof. dr. sc. Mihajlo Šesto, dr. med., ravnatelj
14;"OPĆA BOLNICA ""DR. IVO PEDIŠIĆ"" SISAK";44000;SISAK;J.J. STROSSMAYERA 59;044/553-101;044 531 037;Tomislav Dujmenović, dr. med. spec. urolog, ravnatelj
15;OPĆA BOLNICA KARLOVAC;47000;KARLOVAC;DR. ANDRIJE ŠTAMPARA 3;047/608-100;047 431 325;prim. Ervin Jančić, dr.med., ravnatelj
16;OPĆA BOLNICA I BOLNICA BRANITELJA DOMOVINSKOG RATA  OGULIN;47300;OGULIN;BOLNIČKA ULICA 38;047/819-707;047 801 770;Josip Zorko, dr.med.,specijalist internista-kardiolog, ravnatelj
17;OPĆA BOLNICA VARAŽDIN;42000;VARAŽDIN;I. MEŠTROVIĆA B.B.;042/393-000;042213 241;Nenad Kudelić, dr.med., ravnatelj
18;"OPĆA BOLNICA ""DR. TOMISLAV BARDEK"" KOPRIVNICA";48000;KOPRIVNICA;UL. ŽELJKA SELINGERA BB;048/251-001;048 622 864 ;Mato Devčić, dr.med.spec. anest., reanimat. i int. lij., ravnatelj
19;OPĆA BOLNICA BJELOVAR;43000;BJELOVAR;MIHANOVIĆEVA 8;043/279-222 (247);043 279 333;Allouch Ali, dr.med. spec. kirurg, subspec. traumatologije i ortopedije, ravnatelj
20;OPĆA BOLNICA GOSPIĆ;53000;GOSPIĆ;KANIŠKA 111;053/572 433;053 658 596;mr. Sandra Čubelić, dr. med., ravnatelj
21;OPĆA BOLNICA VIROVITICA;33000;VIROVITICA;LJUDEVITA GAJA 21;033/747-444;033 725 323;Dinko Blažević, dipl.oec., ravnatelj
22;OPĆA ŽUPANIJSKA BOLNICA POŽEGA;34000;POŽEGA;OSJEČKA 107;034/254-555;034 271 713; Prof. dr. sc. Željko Glavić, dr. med., ravnatelj
23;"OPĆA BOLNICA ""DR. JOSIP BENČEVIĆ"" SLAVONSKI BROD";35000;SLAVONSKI BROD;ANDRIJE ŠTAMPARA 42;035/201-201;035 446  121;Prim. dr. Josip Samardžić, ravnatelj
24;OPĆA BOLNICA ZADAR;23000;ZADAR;BOŽE PERIČIĆA 5;023/505-505;023 312 724;Željko Čulina, dr. med. spec. pulmolog, ravnatelj
25;OPĆA ŽUPANIJSKA BOLNICA NAŠICE;31500;NAŠICE;ULICA BANA JELAČIĆA 6;031/613-620;031 613 826;Hrvoje Šimić, dr. med. – specijalist fizikalne medicine i rehabilitacije, ravnatelj
26;OPĆA BOLNICA ŠIBENSKO-KNINSKE ŽUPANIJE;22000;ŠIBENIK;STJEPANA RADIĆA 83;022/ 641-900;022 332 887;Sanja Jakelić, dr.med., ravnatelj
27;"OPĆA I VETERANSKA BOLNICA ""HRVATSKI PONOS"" KNIN";22300;KNIN;SVETOSLAVA SURONJE 12;022/641 111;022/663-963;Kristina Bitunjac, dr.med., ravnatelj
28;OPĆA ŽUPANIJSKA BOLNICA VINKOVCI;32100;VINKOVCI;ZVONARSKA 57;032/349-349;032 369 334;Krunoslav Šporčić, dr.med., ravnatelj
29;OPĆA  ŽUPANIJSKA BOLNICA VUKOVAR;32000;VUKOVAR;ŽUPANIJSKA 35;032/452-111;032 452 002;dr. Vesna Bosanac, ravnatelj
30;OPĆA BOLNICA PULA;52100;PULA;ZAGREBAČKA 30;052/376-000;052 376 444;dr. sc. Irena Hrstić, dr. med., ravnatelj
31;OPĆA BOLNICA DUBROVNIK;20000;DUBROVNIK;DR. ROKA MIŠETIĆA 2;020/431-777;020 426 149;Doc.dr.sc. Marijo Bekić dr.med., ravnatelj
32;ŽUPANIJSKA BOLNICA ČAKOVEC;40000;ČAKOVEC;I.G. KOVAČIĆA 1E;040/375 444;040 313 325;doc. dr.sc. Tomislav Novinščak, prof. v.š., dr.med., spec. opće kirurgije, v.d. ravnatelj
33;OPĆA BOLNICA ZABOK I BOLNICA HRVATSKIH VETERANA;49210;ZABOK;BRAČAK 8;049/204-000;049 204 019;Tihomir Vančina, dipl.oec., ravnatelj
34;PSIHIJATRIJSKA BOLNICA ZA DJECU I MLADEŽ;10000;GRAD ZAGREB;IVANA KUKULJEVIĆA 11;01/4862-501;01 48 22 501;Alen Andrić, dr. med., specijalist psihijatrije, subspecijalist dječje i adolescentne psihijatrije
35;SPECIJALNA BOLNICA ZA ZAŠTITU DJECE S NEURORAZVOJNIM I MOTORIČKIM SMETNJAMA;10000;GRAD ZAGREB;GOLJAK 2;01/4925 200;01 48 23 577;prim. Katarina Bošnjak-Nađ, dr.med., spec. pedijatar, ravnatelj
36;SPECIJALNA BOLNICA ZA PLUĆNE BOLESTI;10000;GRAD ZAGREB;ROCKEFELLEROVA 3;01/4684-400;01 46 12 247;dr.sc.prim. Marinko Artuković, dr.med., ravnatelj 
37;PSIHIJATRIJSKA BOLNICA SVETI IVAN;10000;GRAD ZAGREB;JANKOMIR 11;01/3430-000;01 37 94 116;doc. prim. dr. sc. Igor Filipčić, dr. med. supspecijalist biologijske psihijatrije, ravnatelj
38;DJEČJA BOLNICA SREBRNJAK;10000;GRAD ZAGREB;SREBRNJAK 100;01/6391 100;01 63 91 188;dr. sc. Boro Nogalo, dr. med., ravnatelj
